run_name,run_id,run_url,pooling,ha_lambda,val_auc_roc,val_balanced_acc,val_recall,val_ha_dice,val_inside_minus,val_inside_frac,val_outside_dens,val_cam_nz_frac,val_loss,test_auc_roc,test_balanced_acc,test_ha_dice,test_inside_minus,train_ha_loss,train_cls_loss
sweep_ha__cls__l0p0__ep10__lr1e5,7tcmi2gx,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/7tcmi2gx,cls,0.0,0.9764646464646464,0.9161616161616162,0.9161616161616162,,,,,,0.2626164570703345,0.9757398227429772,0.9047468829803216,,,,
sweep_ha__cls__l0p1__ep10__lr1e5,43exu51y,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/43exu51y,cls,0.1,0.973939393939394,0.9023232323232324,0.9023232323232324,0.5415584862232208,0.4910127431154251,0.7508129060268403,0.03906064194937547,0.5579506685336431,0.2178057859004554,0.9750488207901458,0.9228406188974012,0.5336585873737931,0.48055011546239257,0.5648648605054739,0.32251862710227774
sweep_ha__cls__l0p25__ep10__lr1e5,zpg30ntu,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/zpg30ntu,cls,0.25,0.9738383838383838,0.8773737373737374,0.8773737373737374,0.6616539498170216,0.5095294525225957,0.7693296114603678,0.04621834941208362,0.46500849227110547,0.2258854474304086,0.9691001952831606,0.9023358870362024,0.6261077569797635,0.4845038396306336,0.4815169098425885,0.3307156330164598
sweep_ha__cls__l0p5__ep10__lr1e5,0ckp8fke,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/0ckp8fke,cls,0.5,0.9727272727272728,0.8740404040404041,0.8740404040404041,0.7208944062391917,0.5301849007606506,0.7899850686391194,0.046261352797349296,0.3871173352003098,0.23440303148354513,0.9681688448249962,0.9002328376145411,0.6866404805332422,0.5045065134763718,0.4365296558457978,0.34076872802510555
sweep_ha__cls__l1p0__ep10__lr1e5,p9f3hyus,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/p9f3hyus,cls,1.0,0.9704040404040404,0.8729292929292929,0.8729292929292929,0.7621973673502604,0.5466198335091274,0.8064199984073639,0.0461848092575868,0.34588647484779356,0.24486120297747144,0.9659456211506684,0.895500976415803,0.7282758401706815,0.5186380706727505,0.4031899267313432,0.3561157388042431
sweep_ha__cls__l3p0__ep10__lr1e5,gxuj1s7h,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/gxuj1s7h,cls,3.0,0.9648484848484848,0.8878787878787879,0.8878787878787879,0.7969729880491893,0.5616092532873154,0.8214094042778015,0.04642085749655962,0.3289647003014882,0.2789893887810788,0.9641730509238396,0.8946672675379299,0.7885558465495706,0.5453158426098526,0.3741034159854967,0.39700779379630574
sweep_ha__cls__l5p0__ep10__lr1e5,490d558v,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/490d558v,cls,5.0,0.9573737373737372,0.9072727272727272,0.9072727272727272,0.8036305169264476,0.5643629848957061,0.824163148800532,0.04673176867266496,0.3286883453528086,0.3141675343957998,0.9605227579990988,0.8936157428270992,0.7979353312402964,0.5505895540118217,0.3682440969408775,0.4240908479812194
sweep_ha__cls__l7p0__ep10__lr1e5,h0qx2zb4,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/h0qx2zb4,cls,7.0,0.954040404040404,0.9006060606060606,0.9006060606060606,0.8062914391358693,0.5661261190970739,0.825926274061203,0.046615732150773206,0.3288902997970581,0.35586483195676644,0.9577587501877722,0.8862550698512843,0.8006328595802188,0.5524672791361809,0.3660660051569647,0.4512307056967093
sweep_ha__cls__l11p0__ep10__lr1e5,w1lg2jyz,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/w1lg2jyz,cls,11.0,0.9488888888888888,0.8994949494949496,0.8994949494949496,0.8098457276821136,0.5685440997282664,0.8283442695935567,0.04627623527000348,0.3270726948976517,0.449387373560566,0.9523509088177856,0.8831004957187922,0.8043004125356674,0.5549801285378635,0.36342322583101233,0.5168679688049822
sweep_ha__cls__l17p0__ep10__lr1e5,l5notf8h,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/l5notf8h,cls,17.0,0.941010101010101,0.8767676767676768,0.8767676767676768,0.811817197004954,0.5691838016112646,0.8289839625358582,0.04628667744497458,0.3256164888540904,0.5392247973862341,0.9425416854438936,0.88331831155175,0.7945989156141877,0.5458948845043778,0.36194040215745266,0.5891033830691357
