run_name,run_id,run_url,pooling,dal_lambda,ha_lambda,val_auc_roc,val_balanced_acc,val_recall,val_loss,val_ha_dice,val_inside_minus,val_inside_frac,val_outside_dens,val_cam_nz_frac,val_dal_loss,test_auc_roc,test_balanced_acc,test_ha_dice,test_inside_minus,train_dal_loss,train_ha_loss,train_cls_loss,run_type
sweep_dal__cls__hal5__dall0p0__ep10__lr1e5,koiwhy1u,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/koiwhy1u,cls,0.0,5,0.97,0.8718181818181818,0.8718181818181818,0.2432691235789808,0.8808994889259338,0.6401647369066874,0.8999648948510488,0.0303664551426967,0.287011049191157,,0.9700165239597416,0.8969881327925492,0.869028378278017,0.6172332782298326,0.0,0.30834650932526103,0.358361116629474,HA only (baseline)
sweep_dal__cls__hal5__dall0p1__ep10__lr1e5,hcco5cgg,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/hcco5cgg,cls,0.1,5,0.9703030303030304,0.8718181818181818,0.8718181818181818,0.2461109138646368,0.8803169588247935,0.6389553010463714,0.8987554669380188,0.030720301220814383,0.2875425135095914,,0.96928045666216,0.9063241700465676,0.8637725235894322,0.6123421750962734,0.128481141462618,0.3083856951217262,0.35831384239148123,HA + DAL
sweep_dal__cls__hal5__dall0p5__ep10__lr1e5,sk60evfy,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/sk60evfy,cls,0.5,5,0.97010101010101,0.8718181818181818,0.8718181818181818,0.24499352838275795,0.8787508368492126,0.6366758942604065,0.8964760482311249,0.031124859924117725,0.2881802678108215,,0.963271744028842,0.8949752140603876,0.8266383251175284,0.5690516363829374,0.04223194285010805,0.30942029065015364,0.3605396229089523,HA + DAL
sweep_dal__cls__hal5__dall1p0__ep10__lr1e5,dgmduh36,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/dgmduh36,cls,1.0,5,0.96989898989899,0.8707070707070708,0.8707070707070708,0.2430444547306683,0.8775955120722453,0.6342738131682079,0.8940739870071411,0.03176839947700501,0.288945572078228,,0.9629562866155924,0.8933979269941414,0.8252491625025868,0.5676555261015892,0.02473496936489733,0.31016379108234327,0.3617383635469845,HA + DAL
sweep_dal__cls__hal5__dall2p0__ep10__lr1e5,vb7j95ad,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/vb7j95ad,cls,2.0,5,0.9696969696969696,0.8934343434343435,0.8934343434343435,0.2450581487836474,0.8745754798253377,0.6318388899167379,0.8916390538215637,0.03203300535678864,0.2895726963877678,,0.9623103500075108,0.8923464022833107,0.8218800611793995,0.5651874816976488,0.01551071003231467,0.31263190203783464,0.3659040068789404,HA + DAL
sweep_dal__cls__hal5__dall5p0__ep10__lr1e5,hybc36wn,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/hybc36wn,cls,5.0,5,0.9687878787878788,0.8912121212121211,0.8912121212121211,0.25788199219663266,0.8651070713996887,0.6219543834527334,0.8817545513312022,0.033863872103393075,0.2926339233915011,,0.9605828451254318,0.8941415051825146,0.8041787492111325,0.5652164248749614,0.00981872398596333,0.3199421483643201,0.37574793596048744,HA + DAL
sweep_dal__gap__hal5__dall0p0__ep10__lr1e5,7gsj1uby,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/7gsj1uby,gap,0.0,5,0.9703030303030302,0.8751515151515152,0.8751515151515152,0.23315785749483917,0.8790821413199107,0.6353996992111206,0.8951998710632324,0.03397640554855267,0.2994685302178065,,0.9687396725251616,0.9121075559561364,0.8474910128861666,0.5954551622271538,0.0,0.30810106956228916,0.3593130806575016,HA only (baseline)
sweep_dal__gap__hal5__dall0p1__ep10__lr1e5,o52sodtw,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/o52sodtw,gap,0.1,5,0.9686868686868686,0.8773737373737374,0.8773737373737374,0.23093975209078543,0.8787096440792084,0.6350276947021485,0.8948278546333313,0.033358694861332576,0.2974277143677076,,0.9655400330479196,0.9089529818236444,0.8323313742876053,0.5720742424018681,0.20874710426646836,0.30884286578820674,0.36132659185297633,HA + DAL
sweep_dal__gap__hal5__dall0p5__ep10__lr1e5,a9gsl32v,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/a9gsl32v,gap,0.5,5,0.9677777777777776,0.8535353535353536,0.8535353535353536,0.23810325979681335,0.8778281092643738,0.6377941687901815,0.8975943386554718,0.03138221297413111,0.29339923014243446,,0.9666666666666668,0.8988733663812528,0.8625802407041192,0.6102479547262192,0.056917687421854664,0.31027968197452777,0.36514854963336674,HA + DAL
sweep_dal__gap__hal5__dall1p0__ep10__lr1e5,8w86llur,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/8w86llur,gap,1.0,5,0.9668686868686868,0.8535353535353536,0.8535353535353536,0.24017505372984935,0.8764362434546152,0.6374273439248402,0.8972275078296661,0.03096711840480566,0.29250637044509253,,0.959170797656602,0.8957187922487607,0.8294130163267255,0.5705714523792267,0.03336122812589212,0.31158704173808194,0.3684451446241262,HA + DAL
